"Application ID","Object Type","CSV Batch","Application Batch","Path JPG","Genus Number","Genus + Species 1","Epthitet 1","Genus + Species 2","Epthitet 2","Subdivision","Notes","Feedback Alembo","Feedback Florence"
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021662.jpg","2853","Oenanthe","","","","AFR","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021663.jpg","2853","Oenanthe","","","","ASI-CA","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021664.jpg","2853","Oenanthe","","","","EUR","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021665.jpg","2853","Oenanthe","","","","EUR","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021666.jpg","2853","Oenanthe","","","","ASI","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021667.jpg","2853","Oenanthe","","","","ASI","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021668.jpg","2853","Oenanthe","","","","OCE","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021669.jpg","2853","Oenanthe","","","","EUR","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021670.jpg","2853","Oenanthe","","","","ASI","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021671.jpg","2853","Oenanthe","","","","AFR","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021672.jpg","2853","Oenanthe","","","","White","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021673.jpg","2853","Oenanthe","","","","White","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021674.jpg","2854","Crantzia","","","","AME-C","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021675.jpg","2854","Crantzia","","","","AME-N","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021676.jpg","2854","Crantzia","","","","AME-S","","",""
"2","COVER","COVER_CP1_20240402_BATCH_0001","COVER_CP1_20240402_BATCH_0001_PART_01","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021677.jpg","2854","Crantzia","","","","OCE","","",""
